Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
48ba2eae-3079-92c7-82e3-31b7993958e8,1965-12-06,,999-11-3433,S99955253,X16563131X,Ms.,Darline247,Gail741,Aufderhar910,,,S,black,nonhispanic,F,Sandwich  Massachusetts  US,392 Pfeffer Alley,North Adams,Massachusetts,Berkshire County,25003,01247,42.70722644086016,-73.12241281485265,166842.78,988747.23,31762
08230260-e919-5227-1ee9-cccc39648a34,1999-01-28,,999-44-4032,S99988448,X39273776X,Mr.,Garret233,,Ernser583,,,,black,nonhispanic,M,Attleboro  Massachusetts  US,866 Larson Trail,Springfield,Massachusetts,Hampden County,25013,01199,42.10926280578462,-72.52843689417021,4727.47,68524.80,3790
cb5df8b1-199e-6d35-1ff0-c0e0801edf17,1949-02-26,,999-63-9216,S99920418,X87064063X,Mr.,Allan198,,Abbott774,,,S,black,nonhispanic,M,Marblehead  Massachusetts  US,1010 Daugherty Track,Boston,Massachusetts,Suffolk County,25025,02210,42.3433247544469,-71.04126375765051,14992.93,220164.72,20964
fc48b5c2-e6ee-e78f-2493-fafb04507fa4,1988-03-07,,999-16-6624,S99995939,X5068391X,Mrs.,Luise714,Samara159,Reichert620,,Carroll471,M,black,nonhispanic,F,Needham  Massachusetts  US,1028 Price Street Suite 71,Medford,Massachusetts,Middlesex County,25017,02145,42.439070960744395,-71.08848933526828,16927.41,898489.56,19112
466df3cc-4a2e-70a8-5ebb-29f1ce64763f,1953-06-16,,999-59-5804,S99968860,X21540419X,Mrs.,Carolina179,Francisca486,Arteaga169,,Rend+¦n540,M,black,hispanic,F,Ponce  Puerto Rico  PR,961 Bosco Ferry Apt 12,Westfield,Massachusetts,Hampden County,25013,01085,42.146986939893466,-72.74216574540284,937523.15,907106.30,114808
e96e262b-bf69-4c3f-c26f-9acdaefaf770,1958-08-31,2021-01-16,999-31-7395,S99966708,X24820620X,Mrs.,Lisa683,Arvilla101,Crooks415,,Haag279,M,black,nonhispanic,F,Hardwick  Massachusetts  US,170 Hickle Overpass,Boston,Massachusetts,Suffolk County,25025,02136,42.36502200936039,-71.092396155567,673436.95,672965.72,58745
ddd42265-8985-ee08-a0d6-56da944048d1,1942-03-05,,999-94-4396,S99935057,X10993398X,Mrs.,Ramona980,Susana117,Verduzco998,,Villarreal550,M,black,hispanic,F,Gaudalajara  Jalisco  MX,613 Morissette Path,Salem,Massachusetts,Essex County,25009,01970,42.45203980410935,-70.92544371496855,1175677.37,517540.01,99653
068d2ed4-b12c-e380-fe78-3d99eab488c2,1958-08-31,2015-06-29,999-35-8202,S99937634,X84673881X,Mrs.,Virgie92,Barbra486,Hilpert278,,Lindgren255,M,black,nonhispanic,F,Medford  Massachusetts  US,759 Runolfsson Burg Unit 87,Boston,Massachusetts,Suffolk County,25025,02113,42.28811537569575,-71.04040906470225,885538.15,887816.68,58745
1e27f678-220f-8359-d925-5531615fee8f,1958-08-31,2018-04-18,999-58-3868,S99953268,X61038003X,Mrs.,Charmaine338,Vita624,Kautzer186,,Bednar518,M,black,nonhispanic,F,New Bedford  Massachusetts  US,188 Lockman Ramp,Boston,Massachusetts,Suffolk County,25025,02152,42.340729071162386,-71.09505312168072,247859.41,35503.78,58745
17815732-cb25-a735-8c1c-5a417466856b,1958-08-31,,999-70-4045,S99927223,X43148611X,Ms.,Spring819,Ladonna785,Johns824,,,S,black,nonhispanic,F,Fairhaven  Massachusetts  US,586 Lehner Park Suite 51,Boston,Massachusetts,Suffolk County,25025,02128,42.39179983014344,-71.09151545358945,334562.22,405923.80,58745
